Current Price|Likes|Item|Title|Old Price|Discount|Brand|Link
350 грн|1|Складная кисть для губ zoeva 330|Складная кисть для губ zoeva 330|||Zoeva|https://shafa.ua/cosmetics/aksessuary-dlya-krasoty/kisti/100023914-skladnaya-kist-dlya-gub-zoeva-330
525 грн|1|Палетка для лица ciate london everyday vacay palette ( в сша - $30)|Палетка для лица ciate london everyday vacay palette ( в сша - $30)|||Ciate London|https://shafa.ua/cosmetics/dekorativnaya/nabory/99986567-paletka-dlya-lica-ciate-london-everyday-vacay-palette-v-ssha-30
190 грн|2|Черный карандаш для глаз clinique quickliner for eyes intense|Черный карандаш для глаз clinique quickliner for eyes intense|||Clinique|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/karandashi/99986328-chernyy-karandash-dlya-glaz-clinique-quickliner-for-eyes-intense
55 грн|0|Пробник парфюмированая вода givenchy l'interdit eau de parfum|Пробник парфюмированая вода givenchy l'interdit eau de parfum|||Givenchy|https://shafa.ua/cosmetics/parfyumeriya/probniki/99984824-probnik-parfyumirovanaya-voda-givenchy-linterdit-eau-de-parfum
450 грн|2|Двойная тушь huda beauty legit lashes double ended mascara|Двойная тушь huda beauty legit lashes double ended mascara|||Huda Beauty|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/tush/99897970-dvoynaya-tush-huda-beauty-legit-lashes-double-ended-mascara
50 грн|0|Пробник парфюмированная вода aerin lauder amber musk|Пробник парфюмированная вода aerin lauder amber musk||||https://shafa.ua/cosmetics/parfyumeriya/probniki/99989384-probnik-parfyumirovannaya-voda-aerin-lauder-amber-musk
150 грн|4|Очищающий скраб для кожи головы naturelab tokyo perfect shine clarifying scalp scrub|Очищающий скраб для кожи головы naturelab tokyo perfect shine clarifying scalp scrub||||https://shafa.ua/cosmetics/dlya-volos/shampuni/99986891-ochishayushiy-skrab-dlya-kozhi-golovy-naturelab-tokyo-perfect-shine
110 грн|1|Гель для завивки локонов mizani true textures perfect coil oil gel|Гель для завивки локонов mizani true textures perfect coil oil gel||||https://shafa.ua/cosmetics/dlya-volos/masla/99985874-gel-dlya-zavivki-lokonov-mizani-true-textures-perfect-coil-oil-gel
120 грн|4|Несмываемая термозащита от распушивания волос mizani 25 miracle milk leave-in conditioner|Несмываемая термозащита от распушивания волос mizani 25 miracle milk leave-in conditioner||||https://shafa.ua/cosmetics/dlya-volos/sredstva-dlya-zashchity/99698952-nesmyvaemaya-termozashita-ot-raspushivaniya-volos-mizani-25-miracle
500 грн|1|Полноразмерный карандаш для бровей anastasia beverly hills brow wiz|Полноразмерный карандаш для бровей anastasia beverly hills brow wiz|||Anastasia Beverly Hills|https://shafa.ua/cosmetics/dekorativnaya/dlya-brovej/karandashi/99989970-polnorazmernyy-karandash-dlya-brovyay-anastasia-beverly-hills-brow
135 грн|4|Крем для укладки вьющихся волос mizani 25 miracle cream|Крем для укладки вьющихся волос mizani 25 miracle cream||||https://shafa.ua/cosmetics/dlya-volos/stajling/gel-dlya-fiksacii/99500842-krem-dlya-ukladki-vyushihsya-volos-mizani-25-miracle-cream
800 грн|2|Восстанавливающее масло для лица malin+goetz recovery treatment oil|Восстанавливающее масло для лица malin+goetz recovery treatment oil||||https://shafa.ua/cosmetics/dlya-lica/maslo/99009722-vosstanavlivayushee-maslo-dlya-lica-malingoetz-recovery-treatment
60 грн|6|"<a href=""/cosmetics/dlya-volos/sredstva-dlya-zashchity/77903484-uvlyazhnyayushiy-povsednevnyy-krem-dlya-kontrolya-lokonov"" class=""b-tile-item-name-product js-b-tile-item"" data-event-action=""Open from seller shop"" data-event-label="""" data-is-made-in-ukraine=""0"" data-user-has-recent-activity=""1"" data-sale-status=""nonsale"" data-item-count=""13"" data-id=""77903484"" data-clerk-source="""" title=""Увляжняющий повседневный крем для контроля локонов кучерявых волос
kerastase curl manifesto creme de jour fondamentale"" winautomationvisibilitylandmark=""true"">
Увляжняющий повседневный крем для контроля локонов кучерявых волос
kerastase curl manifesto creme de jour fondamentale"|Увляжняющий повседневный крем для контроля локонов кучерявых волос
kerastase curl manifesto creme de jour fondamentale|||Kerastase|https://shafa.ua/cosmetics/dlya-volos/sredstva-dlya-zashchity/77903484-uvlyazhnyayushiy-povsednevnyy-krem-dlya-kontrolya-lokonov
65 грн|3|Крем для оформления локонов moroccanoil curl defining cream|Крем для оформления локонов moroccanoil curl defining cream|||Moroccanoil|https://shafa.ua/cosmetics/dlya-volos/stajling/gel-dlya-fiksacii/99988216-krem-dlya-oformleniya-lokonov-moroccanoil-curl-defining-cream
275 грн|6|"Эликсир для волос ""совершенство волос"" olaplex hair protector no. 3"|"Эликсир для волос ""совершенство волос"" olaplex hair protector no. 3"|||Olaplex|https://shafa.ua/cosmetics/dlya-volos/maski/84664596-eliksir-dlya-volos-sovershenstvo-volos-olaplex-hair-protector-no-3
110 грн|6|Пробник парфюмированная вода chanel chance eau tendre|Пробник парфюмированная вода chanel chance eau tendre|||Chanel|https://shafa.ua/cosmetics/parfyumeriya/probniki/99898166-probnik-parfyumirovannaya-voda-chanel-chance-eau-tendre
150 грн|3|Кондиционер-стайлер для кудрявых волос living proof curl enhancer|Кондиционер-стайлер для кудрявых волос living proof curl enhancer|||Living Proof|https://shafa.ua/cosmetics/dlya-volos/stajling/gel-dlya-fiksacii/99697369-kondicioner-stayler-dlya-kudryavyh-volos-living-proof-curl-enhancer
140 грн|3|Увлажняющая сыворотка с гиалуроновой кислотой peter thomas roth water drench hyaluronic cloud serum|Увлажняющая сыворотка с гиалуроновой кислотой peter thomas roth water drench hyaluronic cloud serum|||Peter Thomas Roth|https://shafa.ua/cosmetics/dlya-lica/sivorotki/96819319-uvlazhnyayushaya-syvorotka-s-gialuronovoy-kislotoy-peter-thomas-roth
160 грн|4|Праймер для лица tatcha the liquid silk canvas protective primer|Праймер для лица tatcha the liquid silk canvas protective primer|||Tatcha|https://shafa.ua/cosmetics/dekorativnaya/dlya-lica/prajmery/95643810-praymer-dlya-lica-tatcha-the-liquid-silk-canvas-protective-primer
325 грн|5|Ультра-легкая помада fenty beauty mattemoiselle plush matte lipstick|Ультра-легкая помада fenty beauty mattemoiselle plush matte lipstick|||Fenty Beauty by Rihanna|https://shafa.ua/cosmetics/dekorativnaya/dlya-gub/pomada/99699947-ultra-legkaya-tonkaya-pomada-fenty-beauty-mattemoiselle-plush-matte
60 грн|4|Пробник парфюмированная вода prada candy|Пробник парфюмированная вода prada candy|||Prada|https://shafa.ua/cosmetics/parfyumeriya/probniki/99695182-probnik-parfyumirovannaya-voda-prada-candy
90 грн|6|Коллагеновые патчи под глаза wilma schumann collagen eye pads|Коллагеновые патчи под глаза wilma schumann collagen eye pads|100 грн|-10%||https://shafa.ua/cosmetics/dlya-lica/maski/84665689-kollagenovye-patchi-pod-glaza-wilma-schumann-collagen-eye-pads
65 грн|9|Ниша! пробник парфюмированная вода tocca giulietta|Ниша! пробник парфюмированная вода tocca giulietta||||https://shafa.ua/cosmetics/parfyumeriya/probniki/94786767-nisha-probnik-parfyumirovannaya-voda-tocca-giulietta
745 грн|5|Пилинг для лица symbiosis london r+aha rose + glycolic acid rejuvenating gentle face exfoliator|Пилинг для лица symbiosis london r+aha rose + glycolic acid rejuvenating gentle face exfoliator||||https://shafa.ua/cosmetics/dlya-lica/ochishcheniya-lica/99009415-piling-dlya-lica-symbiosis-london-raha-rose-glycolic-acid
75 грн|5|Пробники тона nars soft matte complete foundation|Пробники тона nars soft matte complete foundation|||Nars|https://shafa.ua/cosmetics/dekorativnaya/dlya-lica/tonalnyj-krem/99695872-probniki-tona-nars-soft-matte-complete-foundation
55 грн|4|Увляжняющий крем для кучерявых волос kerastase curl manifesto creme|Увляжняющий крем для кучерявых волос kerastase curl manifesto creme|||Kerastase|https://shafa.ua/cosmetics/dlya-volos/sredstva-dlya-zashchity/99696361-uvlyazhnyayushiy-krem-dlya-k-kucheryavyh-volos-kerastase-curl
150 грн|20|Сияющий солнцезащитный крем для лица cay skin isle glow face lotion spf 45|Сияющий солнцезащитный крем для лица cay skin isle glow face lotion spf 45||||https://shafa.ua/cosmetics/dlya-lica/krem/94727837-siyayushiy-solncezashitnyy-krem-dlya-lica-cay-skin-isle-glow-face
1535 грн|14|Палетка теней viseart eye shadow palette 01 neutral matte|Палетка теней viseart eye shadow palette 01 neutral matte|||viseart|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/teni/81616126-paletka-tenyay-viseart-eye-shadow-palette-01-neutral-matte
200 грн|3|Сыворотка с молочной кислотой sunday riley good genes all-in-one lactic acid treatment|Сыворотка с молочной кислотой sunday riley good genes all-in-one lactic acid treatment|||Sunday Riley|https://shafa.ua/cosmetics/dlya-lica/sivorotki/99500609-syvorotka-s-molochnoy-kislotoy-sunday-riley-good-genes-all-in-one
150 грн|21|Солнцезащитный крем для лица supergoop unseen sunscreen spf 40|Солнцезащитный крем для лица supergoop unseen sunscreen spf 40|||Supergoop|https://shafa.ua/cosmetics/dlya-lica/krem/96820280-solncezashitnyy-krem-dlya-lica-supergoop-unseen-sunscreen-spf-40
130 грн|7|Бальзам для снятия макияжа clinique take the day off cleansing balm|Бальзам для снятия макияжа clinique take the day off cleansing balm|||Clinique|https://shafa.ua/cosmetics/dekorativnaya/dlya-snyatiya-makiyazha/99011337-balzam-dlya-snyatiya-makiyazha-clinique-take-the-day-off-cleansing
300 грн|41|Бестселлер в сша! cолнцезащитный крем supergoop unseen sunscreen spf 40|Бестселлер в сша! cолнцезащитный крем supergoop unseen sunscreen spf 40|||Supergoop|https://shafa.ua/cosmetics/dlya-lica/krem/65119088-bestseller-v-ssha-colncezashitnyy-krem-supergoop-unseen-sunscreen
1535 грн|2|Профессиональная базовая палетка теней viseart eye shadow palette vpe 01 neutral matte|Профессиональная базовая палетка теней viseart eye shadow palette vpe 01 neutral matte|||viseart|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/teni/99698573-professionalnaya-bazovaya-paletka-tenyay-viseart-eye-shadow-palette
275 грн|7|"Эликсир для волос ""совершенство волос"" olaplex hair protector no. 3"|"Эликсир для волос ""совершенство волос"" olaplex hair protector no. 3"|||Olaplex|https://shafa.ua/cosmetics/dlya-volos/balzamy/99502027-eliksir-dlya-volos-sovershenstvo-volos-olaplex-hair-protector-no-3
270 грн|5|Тушь для ресниц tarte cosmetics lights camera lashes 4-in-1 mascara|Тушь для ресниц tarte cosmetics lights camera lashes 4-in-1 mascara|||Tarte|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/tush/99501319-tush-dlya-resnic-tarte-cosmetics-lights-camera-lashes-4-in-1-mascara
220 грн|4|Миндальное масло для душа l'occitane almond shower oil|Миндальное масло для душа l'occitane almond shower oil|||L'occitane|https://shafa.ua/cosmetics/telo-i-vanna/kosmetika/geli-dlya-dusha/98614866-mindalnoe-maslo-dlya-dusha-loccitane-almond-shower-oil
525 грн|6|Кисть для хайлайтера zoeva 105 luxe highlight оригинал!|Кисть для хайлайтера zoeva 105 luxe highlight оригинал!|||Zoeva|https://shafa.ua/cosmetics/aksessuary-dlya-krasoty/kisti/98615662-kist-dlya-haylaytera-zoeva-105-luxe-highlight-original
100 грн|15|Солнцезащитный крем innisfree daily uv defense sunscreen spf 36|Солнцезащитный крем innisfree daily uv defense sunscreen spf 36|||Innisfree|https://shafa.ua/cosmetics/dlya-lica/krem/94673044-solncezashitnyy-krem-innisfree-daily-uv-defense-sunscreen-spf-36
330 грн|25|Люкс! матовая помада charlotte tilbury matte revolution lipstick pillow talk 2|Люкс! матовая помада charlotte tilbury matte revolution lipstick pillow talk 2|||Charlotte Tilbury|https://shafa.ua/cosmetics/dekorativnaya/dlya-gub/pomada/95376030-lyuks-matovaya-pomada-charlotte-tilbury-matte-revolution-lipstick
130 грн|23|Стойкая помада для губ sephora cream lip stain|Стойкая помада для губ sephora cream lip stain|160 грн|-19%|Sephora|https://shafa.ua/cosmetics/dekorativnaya/dlya-gub/pomada/44401010-stoykaya-pomada-dlya-gub-sephora-cream-lip-stain
130 грн|12|Солнцезащитный крем fenty skin hydra vizor invisible moisturizer broad spectrum spf 30 sunscreen|Солнцезащитный крем fenty skin hydra vizor invisible moisturizer broad spectrum spf 30 sunscreen|||Fenty Beauty by Rihanna|https://shafa.ua/cosmetics/dlya-lica/krem/94724940-solncezashitnyy-krem-fenty-skin-hydra-vizor-invisible-moisturizer
265 грн|10|Мини матовая помада pat mcgrath lust matte trance lipstick collection|Мини матовая помада pat mcgrath lust matte trance lipstick collection|||Pat McGrath Labs|https://shafa.ua/cosmetics/dekorativnaya/dlya-gub/pomada/98667258-mini-matovaya-pomada-pat-mcgrath-lust-matte-trance-lipstick
600 грн|10|Витамин с в виде порошка vitabrid c12 face brightening powder|Витамин с в виде порошка vitabrid c12 face brightening powder||||https://shafa.ua/cosmetics/dlya-lica/krem/95573169-vitamin-s-v-vide-poroshka-vitabrid-c12-face-brightening-powder
540 грн|3|Премиум ночная сыворотка для лица avant pink orchid subtle restoring overnight serum|Премиум ночная сыворотка для лица avant pink orchid subtle restoring overnight serum|||Avant|https://shafa.ua/cosmetics/dlya-lica/sivorotki/99011816-premium-nochnaya-syvorotka-dlya-lica-avant-pink-orchid-subtle
120 грн|5|Брелок держатель для санитайзеров bath and body works rose gold glitter pocketbac holder|Брелок держатель для санитайзеров bath and body works  rose gold glitter pocketbac holder|||Bath And Body Works|https://shafa.ua/cosmetics/dezinficiruyushchie-sredstva/antiseptiki/99011005-brelok-derzhatel-dlya-sanitayzerov-bath-and-body-works-rose-gold
75 грн|4|Антисептик / санитайзер для рук bath & body works pocketbac sanitizer|Антисептик / санитайзер для рук bath & body works pocketbac sanitizer|||Bath And Body Works|https://shafa.ua/cosmetics/dezinficiruyushchie-sredstva/antiseptiki/99010610-antiseptik-sanitayzer-dlya-ruk-bath-body-works-pocketbac-sanitizer
100 грн|22|Восстанавливающая маска для поврежденных волос briogeo don’t despair, repair 30 мл|Восстанавливающая маска для поврежденных волос briogeo don’t despair, repair 30 мл|125 грн|-20%|Briogeo|https://shafa.ua/cosmetics/dlya-volos/maski/62452709-vosstanavlivayushaya-maska-dlya-povrezhdennyh-volos-briogeo-don_t
100 грн|4|Пробник унисекс аромата juliette has a gun - magnolia bliss|Пробник унисекс аромата juliette has a gun - magnolia bliss|||Juliette Has A Gun|https://shafa.ua/cosmetics/parfyumeriya/probniki/99012711-probnik-uniseks-aromata-juliette-has-a-gun-magnolia-bliss
250 грн|9|Легкий увлажняющий крем origins ginzing oil-free energy boosting gel moisturizer|Легкий увлажняющий крем origins ginzing oil-free energy boosting gel moisturizer|||Origins|https://shafa.ua/cosmetics/dlya-lica/krem/89573145-legkiy-uvlazhnyayushiy-krem-origins-ginzing-oil-free-energy-boosting
315 грн|6|Солнцезащитный крем для лица biossance squalane + zinc sheer mineral sunscreen spf 30|Солнцезащитный крем для лица biossance squalane + zinc sheer mineral sunscreen spf 30|||Biossance|https://shafa.ua/cosmetics/dlya-lica/krem/94723695-solncezashitnyy-krem-dlya-lica-biossance-squalane-zinc-sheer-mineral
500 грн|6|Солнцезащитный крем dr. dennis gross skincare all physical lightweight wrinkle defense spf30|Солнцезащитный крем dr. dennis gross skincare all physical lightweight wrinkle defense spf30|||Dr. Dennis Gross|https://shafa.ua/cosmetics/dlya-lica/krem/94725681-solncezashitnyy-krem-dr-dennis-gross-skincare-all-physical
250 грн|5|Кремовый пигмент для щек, глаз и губ jecca blac play pot - red touch|Кремовый пигмент для щек, глаз и губ jecca blac play pot - red touch||||https://shafa.ua/cosmetics/dekorativnaya/dlya-lica/rumyana/99012371-kremovyy-pigment-dlya-shek-glaz-i-gub-jecca-blac-play-pot-red-touch
130 грн|42|Мини тушь для ресниц rare beauty perfect strokes universal volumizing mascara|Мини тушь для ресниц rare beauty perfect strokes universal volumizing mascara|||Rare Beauty|https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/tush/81724852-mini-tush-dlya-resnic-rare-beauty-perfect-strokes-universal
300 грн|29|Пилинг хорошо очищающий поры origins modern friction nature's gentle dermabrasion|Пилинг хорошо очищающий поры origins modern friction nature's gentle dermabrasion|||Origins|https://shafa.ua/cosmetics/dlya-lica/ochishcheniya-lica/69762772-piling-horosho-ochishayushiy-pory-origins-modern-friction-natures
60 грн|6|Пробник парфюм ouai rue st. honore eau de parfum|Пробник парфюм ouai rue st. honore eau de parfum|||Ouai|https://shafa.ua/cosmetics/parfyumeriya/probniki/97329438-probnik-parfyum-ouai-rue-st-honore-eau-de-parfum
95 грн|14|Суперстойкий праймер под макияж urban decay all nighter face primer longwear foundation grip|Суперстойкий праймер под макияж urban decay all nighter face primer longwear foundation grip|100 грн|-5%|Urban Decay|https://shafa.ua/cosmetics/dekorativnaya/dlya-lica/baza-pod-makiyazh/86237047-superstoykiy-praymer-pod-makiyazh-urban-decay-all-nighter-face
620 грн|17|Спрей для закрепления макияжа anastasia beverly hills dewy set setting spray 100 мл без блесток!|Спрей для закрепления макияжа anastasia beverly hills dewy set setting spray 100 мл без блесток!|650 грн|-5%|Anastasia Beverly Hills|https://shafa.ua/cosmetics/dlya-lica/sprei/73003571-spryay-dlya-zakrepleniya-makiyazha-anastasia-beverly-hills-dewy-set
70 грн|7|Салфетка - отшелушивающий пилинг для тела dr. dennis gross exfoliating body treatment|Салфетка - отшелушивающий пилинг для тела dr. dennis gross exfoliating body treatment|80 грн|-13%|Dr. Dennis Gross|https://shafa.ua/cosmetics/telo-i-vanna/uhod/krem-dlya-tela/76860586-salfetka-otshelushivayushiy-piling-dlya-tela-dr-dennis-gross
85 грн|3|Пробник легкий увлажняющий крем charlotte tilbury magic cream light moisturiser|Пробник легкий увлажняющий крем charlotte tilbury magic cream light moisturiser|||Charlotte Tilbury|https://shafa.ua/cosmetics/dlya-lica/krem/73176885-probnik-legkiy-uvlazhnyayushiy-krem_charlotte-tilbury-magic-cream
115 грн|13|Золотистый хайлайтер space case seen from space 1b, сша|Золотистый хайлайтер space case seen from space 1b, сша|130 грн|-12%||https://shafa.ua/cosmetics/dekorativnaya/dlya-lica/hajlajtery/69981149-zolotistyy-haylayter-space-case-seen-from-space-1b-ssha
90 грн|7|Увлажняющий тоник с гиалуроновой кислотой elizabeth mott hydrating hyaluronic toner|Увлажняющий тоник с гиалуроновой кислотой elizabeth mott hydrating hyaluronic toner||||https://shafa.ua/cosmetics/dlya-lica/toniki/69763823-uvlazhnyayushiy-tonik-s-gialuronovoy-kislotoy-elizabeth-mott
150 грн|6|Скраб пиллинг для лица kate somerville exfolikate intensive pore exfoliating treatment|Скраб пиллинг для лица kate somerville exfolikate intensive pore exfoliating treatment|||Kate Somerville|https://shafa.ua/cosmetics/dlya-lica/ochishcheniya-lica/96817878-skrab-pilling-dlya-lica-kate-somerville-exfolikate-intensive-pore
165 грн|18|Увлажняющая ночная маска drunk elephant f-balm electrolyte waterfacial|Увлажняющая ночная маска drunk elephant f-balm electrolyte waterfacial|||Drunk Elephant|https://shafa.ua/cosmetics/dlya-lica/maski/75682718-uvlazhnyayushaya-nochnaya-maska-drunk-elephant-f-balm-electrolyte
425 грн|5|Антивозрастная сыворотка для глаз epionce luminous eye serum 15 мл за $64!|Антивозрастная сыворотка для глаз epionce luminous eye serum 15 мл за $64!||||https://shafa.ua/cosmetics/dlya-lica/sivorotki/97447098-antivozrastnaya-syvorotka-dlya-glaz-epionce-luminous-eye-serum-15-ml
115 грн|17|Спрей для расчесывания и мгновенного увлажнения living proof restore perfecting spray|Спрей для расчесывания и мгновенного увлажнения living proof restore perfecting spray|||Living Proof|https://shafa.ua/cosmetics/dlya-volos/sprei/86244308-spryay-dlya-raschesyvaniya-i-mgnovennogo-uvlazhneniya-living-proof
645 грн|5|Премиальный крем для контура глаз dr.brandt triple antioxidant eye cream 15мл!|Премиальный крем для контура глаз dr.brandt triple antioxidant eye cream 15мл!|1400 грн|-54%|Dr. Brandt|https://shafa.ua/cosmetics/dlya-lica/krem/93765779-premialnyy-krem-dlya-kontura-glaz-drbrandt-triple-antioxidant-eye
50 грн|29|Уценка! матирующий солнцезащитный крем для лица ren mattifying screen spf 30|Уценка! матирующий солнцезащитный крем для лица ren mattifying screen spf 30|70 грн|-29%|REN|https://shafa.ua/cosmetics/telo-i-vanna/uhod/sredstva-dlya-zagara/43814242-matiruyushiy-solncezashitnyy-krem-dlya-lica-ren-mattifying-screen
275 грн|10|Финишная блюрящая пудра one size by patrick starrr ultimate blurring setting powder|Финишная блюрящая пудра one size by patrick starrr ultimate blurring setting powder||||https://shafa.ua/cosmetics/dekorativnaya/dlya-lica/pudra/98666819-finishnaya-blyuryashaya-pudra-one-size-by-patrick-starrr-ultimate
290 грн|7|Освежающий спрей тоник / мист disciple juicy mist|Освежающий спрей тоник / мист disciple juicy mist|300 грн|-4%||https://shafa.ua/cosmetics/dlya-lica/sprei/78227267-osvezhayushiy-spryay-tonik-mist-disciple-juicy-mist
110 грн|10|Увлажняющий крем для лица belif the true cream aqua bomb|Увлажняющий крем для лица belif the true cream aqua bomb||||https://shafa.ua/cosmetics/dlya-lica/krem/62447550-uvlazhnyayushiy-krem-dlya-lica-belif-the-true-cream-aqua-bomb
600 грн|12|🔥 нишевая миниатюра унисекс парфюма maison margiela replica by the fireplace 🔥|🔥 нишевая миниатюра унисекс парфюма maison margiela replica by the fireplace 🔥|||Maison Martin Margiela|https://shafa.ua/cosmetics/parfyumeriya/parfyumirovannaya-voda/98613842-originalnaya-miniatyura-uniseks-parfyuma-maison-margiela-replica-by
190 грн|14|Черная подводка с фетровым кончиком rockins big fat liner kohl marker pen|Черная подводка с фетровым кончиком rockins big fat liner kohl marker pen||||https://shafa.ua/cosmetics/dekorativnaya/dlya-glaz/podvodka/73182705-chernaya-podvodka-s-fetrovym-konchikom-rockins-big-fat-liner
150 грн|11|Кисть для теней real techniques 300 deluxe crease brush|Кисть для теней real techniques 300 deluxe crease brush||||https://shafa.ua/cosmetics/aksessuary-dlya-krasoty/kisti/93768409-kist-dlya-tenyay-real-techniques-300-deluxe-crease-brush
675 грн|15|Жемчужное зеркало-свинка jeffree star pig hand mirror|Жемчужное зеркало-свинка jeffree star pig hand mirror||||https://shafa.ua/cosmetics/aksessuary-dlya-krasoty/zerkala/95425879-zhemchuzhnoe-zerkalo-svinka-jeffree-star-pig-hand-mirror
150 грн|9|Капли для автозагара isle of paradise medium self tanning drops|Капли для автозагара isle of paradise medium self tanning drops|||isle|https://shafa.ua/cosmetics/dlya-lica/sivorotki/94669958-kapli-dlya-avtozagara-isle-of-paradise-medium-self-tanning-drops
65 грн|8|Антисептик / санитайзер для рук bath & body works pocketbac sanitizer|Антисептик / санитайзер для рук bath & body works pocketbac sanitizer|75 грн|-14%|Bath And Body Works|https://shafa.ua/cosmetics/dezinficiruyushchie-sredstva/antiseptiki/62455891-antiseptik-sanitayzer-dlya-ruk-bath-body-works-pocketbac-sanitizer
325 грн|3|Скраб для губ avant velvet perfecting rose sugar lip scrub|Скраб для губ avant velvet perfecting rose sugar lip scrub|||Avant|https://shafa.ua/cosmetics/dekorativnaya/dlya-gub/balzamy/98668611-skrab-dlya-gub-avant-velvet-perfecting-rose-sugar-lip-scrub
